,method,step,grad_norm,grad_norm,grad_norm,update_norm,update_norm,update_norm,update_to_grad_ratio,update_to_grad_ratio,update_to_grad_ratio,cosine_update_grad,cosine_update_grad,cosine_update_grad,was_clipped,was_clipped,was_clipped
,,,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
0,Adam,1,0.5832283238867919,0.5214107036590576,0.2614304333392661,0.08124024465121324,0.0812403261661529,1.5981255561109496e-06,0.16518689936306324,0.1558086350560188,0.0660228280732816,-0.8039264984875918,-0.807279497385025,0.04042736434917319,0.0,0.0,0.0
1,Adam,2,0.5537657583641509,0.4960899353027344,0.24694557485840993,0.0801705714302758,0.08059282600879665,0.0011344584880555164,0.17122197990740334,0.16192284226417536,0.06750814636799649,-0.8097074443052212,-0.8129303753376007,0.038516634946293093,0.0,0.0,0.0
2,Adam,3,0.5256013347879052,0.473319947719574,0.23110788009203898,0.07936202202178533,0.0798094645142555,0.0016400455267930778,0.1777826539982731,0.1681408435106277,0.06906126879457448,-0.8118955875287454,-0.8151946067810059,0.03803212856855799,0.0,0.0,0.0
3,Adam,4,0.4988712254377703,0.45183515548706055,0.21436846698932555,0.07854796213159954,0.0791033953428268,0.0020571595788859034,0.1841337904234727,0.17444968968629831,0.07000759785901177,-0.8132672902892033,-0.8167091310024261,0.037936023727269286,0.0,0.0,0.0
4,Adam,5,0.4736414534971118,0.43174953758716583,0.19727663441815554,0.0777210646209617,0.07836339995265,0.002397796668094966,0.19026467329077418,0.18061733990907664,0.07042586913238563,-0.8141234256277482,-0.8176072835922241,0.03807217369629893,0.0,0.0,0.0
5,Adam,6,0.4499240762144327,0.413602665066719,0.1803851651916376,0.07688499584825084,0.07756144180893895,0.0026723900680628992,0.19624462063269066,0.18686331808567042,0.07048758517664021,-0.8147092944681644,-0.8183472752571106,0.038347129628044194,0.0,0.0,0.0
6,Adam,7,0.4276878688732783,0.39634568989276886,0.16417091002037124,0.07604764040093864,0.0767327360808849,0.0028880840567950153,0.2021779185372094,0.19272895157337183,0.07037268249092771,-0.8152205434143543,-0.8189215660095215,0.03870570653430476,0.0,0.0,0.0
7,Adam,8,0.40686144497121374,0.3805553913116455,0.14898813920971246,0.0752149098127459,0.07586767897009845,0.003052788750865562,0.2081697387869159,0.19849705696105954,0.07023483715941492,-0.8157851099024216,-0.8196597397327423,0.03901259823081077,0.0,0.0,0.0
8,Adam,9,0.38734513099181156,0.3653596341609955,0.13505268029223486,0.07438817656505849,0.07499568909406655,0.0031776363271881986,0.21429910467316704,0.20444963872432706,0.07015798562032254,-0.8164549546887477,-0.8204282224178314,0.03914431566282741,0.0,0.0,0.0
9,Adam,10,0.36902824860749145,0.350968599319458,0.12245369301719482,0.07356521393917496,0.07413811981678005,0.003276178513236774,0.2206116691473871,0.21035756915807718,0.07016749047037918,-0.8172130991866191,-0.8210562765598297,0.03906576780020839,0.0,0.0,0.0
10,Adam,11,0.3518044400376578,0.33728712797164917,0.11118178697556041,0.07274147458653893,0.07325965538620946,0.003362794745695795,0.22712023446274296,0.2166895791888237,0.07024921674580202,-0.818001359919707,-0.8218070566654205,0.03884054011004042,0.0,0.0,0.0
11,Adam,12,0.3355808062050491,0.32406106591224665,0.10116235927596051,0.07191133725860462,0.07237774506211275,0.0034511891755121017,0.23381097987294194,0.2228845208883285,0.07036925352336627,-0.8187525485803684,-0.8225667774677277,0.038581611863395274,0.0,0.0,0.0
12,Adam,13,0.3202810080920656,0.3113246113061905,0.09228578380055266,0.07106918823843196,0.07148214429616925,0.003552901922429328,0.24065261186473066,0.2293662652373314,0.07049236782141977,-0.8194120839933554,-0.8233226239681244,0.0383870828554813,0.0,0.0,0.0
13,Adam,14,0.30584429304363825,0.29842743277549744,0.08443031385293873,0.07021035546374813,0.07057618722319595,0.0036758054106004016,0.2476054165344685,0.23628927767276758,0.07059460214691204,-0.8199453569948674,-0.8236434161663055,0.03830427445079781,0.0,0.0,0.0
14,Adam,15,0.2922224435030172,0.28599321842193604,0.07747690057784344,0.06933155016818389,0.06965596228837964,0.003823302332704999,0.2546270696688443,0.24362081289291382,0.07066681070973489,-0.820336671213309,-0.8241086900234222,0.038328415696687,0.0,0.0,0.0
